"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"DIGIKEY_2";"DIGIKEY_3";"DIGIKEY_4";"FRACTUS";"MOUSER";
"B1";"BAL-NRF01D3";"BAL-NRF01D3";"BAL-NRF01D3";"50 ohm nominal input / conjugate match balun to nRF51422-QFAA,";"497-13637-1-ND";"";"";"";"";"511-BAL-NRF01D3";
"C1";"33uF";"CPOL-US0805_SM";"CPOL0805_SM";"POLARIZED CAPACITOR, American symbol";"478-8650-1-ND";"";"";"";"";"";
"C2";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"490-10777-1-ND";"";"";"";"";"";
"C3";"22uF";"C-EUC0603_SM";"C0603_SM";"CAPACITOR, European symbol";"445-9077-1-ND";"";"";"";"";"";
"C4";"22pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-1239-1-ND";"";"";"";"";"";
"C5";"NP";"C-EUC0603_TN";"C0603_TN";"CAPACITOR, European symbol";"NP";"";"";"";"";"";
"C6";"8pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-4890-1-ND";"";"";"";"";"";
"C7";"4.7uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-8023-1-ND";"";"";"";"";"";
"C8";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-4952-1-ND";"";"";"";"";"";
"C9";"0.1uF";"C-EUC0402_SM";"C0402_SM";"CAPACITOR, European symbol";"445-4952-1-ND";"";"";"";"";"";
"C10";"22uF";"C-EUC0603_SM";"C0603_SM";"CAPACITOR, European symbol";"445-9077-1-ND";"";"";"";"";"";
"C11";"4.7uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-5947-1-ND";"";"";"";"";"";
"C12";"1nF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-1303-1-ND";"";"";"";"";"";
"C13";"0.1uF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"445-4952-1-ND";"";"";"";"";"";
"C14";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-4952-1-ND";"";"";"";"";"";
"C15";"10uF";"C-EUC0603_SM";"C0603_SM";"CAPACITOR, European symbol";"445-6853-1-ND";"";"";"";"";"";
"C16";"470nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-4989-1-ND";"";"";"";"";"";
"C17";"1uF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"1276-1513-1-ND";"";"";"";"";"";
"C18";"12pF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-6197-1-ND";"";"";"";"";"";
"C19";"12pF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-6197-1-ND";"";"";"";"";"";
"C20";"1nF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-1303-1-ND";"";"";"";"";"";
"C21";"47nF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"445-1264-1-ND";"";"";"";"";"";
"C22";"2.2nF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-5419-1-ND";"";"";"";"";"";
"C23";"0.8pF";"CAPACITOR";"0402_CAP";"0402 Capacitor";"490-6269-1-ND";"";"";"";"";"";
"C24";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-4952-1-ND";"";"";"";"";"";
"C27";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-4952-1-ND";"";"";"";"";"";
"C34";"8pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-4890-1-ND";"";"";"";"";"";
"C38";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-4952-1-ND";"";"";"";"";"";
"C39";"1.5uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"445-13815-1-ND";"";"";"";"";"";
"D1";"ZENERBZT52";"ZENERBZT52";"BZT52";"";"BZT52C10T-7DICT-ND ";"";"";"";"";"";
"D2";"DIODE";"DIODE";"BAS521";"";"BAS521-7DICT-ND";"";"";"";"";"";
"J1";"JTAG_14PIN_IDC-ND";"JTAG_14PIN_IDC-ND";"TC2050-IDC-NL-430-ND";"";"NP";"";"";"";"";"";
"J2";"AC_INF45";"AC_INF45";"AC3_F45";"";"ED1649-ND";"ED1649-ND";"ED1649-ND";"ED1649-ND";"";"";
"J4";"TC2030-JLINK-NL";"TC2030-JLINK-NL";"TC2030-IDC-NL";"";"NP";"";"";"";"";"";
"L1";"10uH";"L-USL0805";"L0805";"INDUCTOR, American symbol";"490-4990-1-ND";"";"";"";"";"";
"L2";"15nH";"INDUCTOR0402";"0402_CAP";"";"587-1521-1-ND";"";"";"";"";"";
"L3";"";"L-USL0805";"L0805";"INDUCTOR, American symbol";"732-3452-1-ND";"";"";"";"";"";
"L4";"10uH";"L-USL0603_TN";"C0603_TN";"INDUCTOR, American symbol";"490-4025-1-ND";"";"";"";"";"";
"Q1";"NTS4173";"NTS4173";"SC-70-3";"";"NTS4173PT1GOSCT-ND";"";"";"";"";"";
"Q4";"2SK1829";"2SK1829";"SC-70-3";"";"2SK1829TE85LFCT-ND";"";"";"";"";"";
"R2";"3k";"R-US_R0402_SM";"R0402_SM";"RESISTOR, American symbol";"P3.00KLCT-ND";"";"";"";"";"";
"R3";"69.8k";"R-US_R1210";"R1210";"RESISTOR, American symbol";"P69.8KAACT-ND";"";"";"";"";"";
"R4";"12k";"RESISTOR";"0402_RES";"Resistor";"RHM12.0KCDCT-ND";"";"";"";"";"";
"R6";"660k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P665KLCT-ND";"";"";"";"";"";
"R7";"560k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P560KLCT-ND";"";"";"";"";"";
"R8";"220k";"R-US_R0402_SM";"R0402_SM";"RESISTOR, American symbol";"P220KJCT-ND";"";"";"";"";"";
"R9";"180k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P180KLCT-ND";"";"";"";"";"";
"R11";"670k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P665KLCT-ND";"";"";"";"";"";
"R12";"330k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P330KLCT-ND";"";"";"";"";"";
"R13";"330k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P330KLCT-ND";"";"";"";"";"";
"R14";"200";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P200LCT-ND";"";"";"";"";"";
"R15";"1M 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P1.00MLCT-ND";"";"";"";"";"";
"R16";"75 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P75.0LCT-ND";"";"";"";"";"";
"R17";"1k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P1.00KLCT-ND";"";"";"";"";"";
"R18";"4.99 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"RMCF0402FT4R99CT-ND";"";"";"";"";"";
"R19";"47k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P47KJCT-ND";"";"";"";"";"";
"R20";"1M 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P1.00MLCT-ND";"";"";"";"";"";
"R21";"1M 1%";"R-US_R0402_SM";"R0402_SM";"RESISTOR, American symbol";"P1.00MLCT-ND";"";"";"";"";"";
"R22";"670k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P665KLCT-ND";"";"";"";"";"";
"R24";"1 1%";"R-US_R0603_SM";"R0603_SM";"RESISTOR, American symbol";"P1.0AJCT-ND";"";"";"";"";"";
"R35";"20k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P20.0KLCT-ND";"";"";"";"";"";
"R37";"887k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P887KLCT-ND";"";"";"";"";"";
"R38";"30k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P30.0KLCT-ND";"";"";"";"";"";
"R39";"16k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P16.0KLCT-ND";"";"";"";"";"";
"R40";"1M 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P1.00MLCT-ND";"";"";"";"";"";
"RF";"4.99k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P4.99KLCT-ND";"";"";"";"";"";
"RI1";"953k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P953KLCT-ND";"";"";"";"";"";
"RI2";"953k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"P953KLCT-ND";"";"";"";"";"";
"SV1";"";"MA12-11M27";"MA12-1_1MM27";"PIN HEADER";"S9014E-12-ND";"";"";"";"";"";
"U1";"TPS62122";"TPS62122";"WDFN-6";"";"296-27695-1-ND";"";"";"";"";"";
"U2";"MCP6V3";"MCP6V3";"SC70-5";"";"296-19547-1-ND";"";"";"";"";"";
"U3";"MSP430FR5738";"MSP430FR5738";"VQFN-24";"";"296-29232-1-ND";"";"";"";"";"";
"U4";"NRF51822QF";"NRF51822QF";"QFN-48-6MM";"Multiprotocol Bluetooth® 4.0 low energy/2.4 GHz RF SoC";"1490-1032-1-ND";"";"";"";"";"949-NRF51822-QFAB-R7";
"U6";"MAX9910";"MAX9910";"SC70-5";"";"296-25252-1-ND";"";"";"";"";"";
"U7";"OPA2369";"OPA2369";"SOT-23-8";"";"296-22671-1-ND";"";"";"";"";"";
"X1";"16MHz";"TXC-8Y";"TXC-8Y";"2mmx1.6mm SMD Crystal";"887-2003-1-ND";"";"";"";"";"";
"X3";"32.768kHz";"CRYSTAL_0805";"0805";"";"535-12373-1-ND";"";"";"";"";"";
"Y1";"UREACH_XTEND";"UREACH_XTEND";"UREACH_XTEND";"";"";"";"";"";"FR05-S1-N-0-110";"";
